City,State,Forecast_2025,AttractivenessRank,Latitude,Longitude
Wisconsin Rapids,WI,4874.056024,408
New Philadelphia,OH,4838.781212,409
Alamogordo,NM,4806.449126,410
Coldwater,MI,4787.215716,411
Pottsville,PA,4751.703545,412
Norwalk,OH,4736.7197,413
Kinston,NC,4654.572535,414
Cadillac,MI,4652.180787,415
Ottawa,IL,4650.119764,416
Mount Vernon,OH,4628.436841,417
Lumberton,NC,4626.957306,418
Wilson,NC,4620.950005,419
Klamath Falls,OR,4618.04704,420
Durango,CO,4615.62851,421
Sturgis,MI,4590.361643,422
Marquette,MI,4523.889632,423
Portsmouth,OH,4513.545127,424
Walla Walla,WA,4509.202425,425
Poughkeepsie,NY,4498.412798,426
Meadville,PA,4478.623088,427
Jacksonville,IL,4458.532422,428
Fremont,OH,4391.373748,429
Bedford,IN,4388.892331,430
Athens,TN,4379.923262,431
Ithaca,NY,4367.589842,432
Beaver Dam,WI,4318.537812,433
Charleston,IL,4314.671056,434
Palatka,FL,4273.93388,435
Sandusky,OH,4214.270067,436
Hermiston,OR,4178.249712,437
Greenwood,SC,4138.511017,438
Whitewater,WI,4072.555968,439
McMinnville,TN,4061.486988,440
Bradford,PA,3997.507995,441
Clearlake,CA,3991.581608,442
Lewisburg,TN,3981.395684,443
Jamestown,NY,3968.835971,444
Muskogee,OK,3929.528593,445
Kendallville,IN,3928.402864,446
Bellefontaine,OH,3906.377072,447
Brownwood,TX,3906.167879,448
Crossville,TN,3862.645439,449
Ukiah,CA,3860.668152,450
Mountain Home,AR,3850.764943,451
Marion,OH,3799.88418,452
Albemarle,NC,3768.269317,453
Auburn,NY,3758.552133,454
Macomb,IL,3734.142347,455
Ashland,OH,3730.406467,456
Elko,NV,3729.722527,457
Lawrenceburg,TN,3672.628626,458
Sterling,IL,3671.290198,459
Athens,OH,3657.449491,460
Georgetown,SC,3638.584198,461
Alma,MI,3638.218881,462
Shelton,WA,3610.911764,463
Red Bluff,CA,3447.164925,464
Watertown,NY,3436.114021,465
Roanoke Rapids,NC,3409.583566,466
Sunbury,PA,3355.607858,467
Kingston,NY,3307.412064,468
Lincoln,IL,3293.023165,469
Baraboo,WI,3290.105555,470
Big Rapids,MI,3276.246735,471
Steamboat Springs,CO,3275.49088,472
Salem,OH,3254.830414,473
Coos Bay,OR,3196.484605,474
Marietta,OH,3158.823368,475
Iron Mountain,MI,3124.961093,476
Urbana,OH,3087.005852,477
Clewiston,FL,3030.157619,478
Centralia,IL,3017.836614,479
Wilmington,OH,3002.638779,480
Muscatine,IA,2967.25844,481
Montrose,CO,2957.068156,482
Bucyrus,OH,2934.145416,483
Clinton,IA,2920.697091,484
Platteville,WI,2913.797883,485
Hillsdale,MI,2864.002857,486
Pontiac,IL,2795.286856,487
Athens,TX,2788.421875,488
Plattsburgh,NY,2766.727927,489
Angola,IN,2715.97512,490
Wapakoneta,OH,2712.87464,491
Cornelia,GA,2680.473631,492
Show Low,AZ,2665.162199,493
Marinette,WI,2556.464846,494
Cambridge,OH,2555.987114,495
Ontario,OR,2473.509085,496
Glenwood Springs,CO,2425.94337,497
Mount Airy,NC,2416.693762,498
Rochelle,IL,2330.535986,499
Jasper,IN,2273.217657,500
Astoria,OR,2159.610771,501
Newport,OR,2125.769594,502
Gloversville,NY,2101.086592,503
Glens Falls,NY,2041.983595,504
Van Wert,OH,2016.523081,505
Oneonta,NY,1991.022047,506
Olean,NY,1945.481875,507
Coshocton,OH,1916.480962,508
Brevard,NC,1816.798393,509
Marion,NC,1799.811118,510
Corning,NY,1515.334842,511
Lincoln,NE,1340.248694,512
Des Moines,IA,1329.338547,513
Sonora,CA,1185.448896,514
Faribault,MN,933.7410556,515
Jefferson,GA,929.3585965,516
Hudson,NY,819.0399423,517
Washington,NC,572.9246893,518
Tyler,TX,490.0107479,519
Jackson,TN,426.0023809,520
Kearney,NE,421.5946743,521
Searcy,AR,411.4798615,522
Calhoun,GA,214.3658969,523
Sherman,TX,14.52042655,524
Richmond,VA,-961.2724787,525
Wichita,KS,-2344.571931,526
Austin,TX,-3653.819768,527
Houston,TX,-17046.58304,528
